2025-10-11  20:30:32.053 | info | qcxdz79geg559t | Could not import module 'Qwen2_5_VLForConditionalGeneration'. Are this object's requirements defined correctly?\n
2025-10-11  20:30:32.053 | info | qcxdz79geg559t | RuntimeError: Failed to import diffusers.pipelines.qwenimage.pipeline_qwenimage_edit because of the following error (look up to see its traceback):\n
2025-10-11  20:30:32.053 | info | qcxdz79geg559t |     raise RuntimeError(\n
2025-10-11  20:30:32.053 | info | qcxdz79geg559t |   File "/usr/local/lib/python3.10/dist-packages/diffusers/utils/import_utils.py", line 955, in _get_module\n
2025-10-11  20:30:32.053 | info | qcxdz79geg559t |     module = self._get_module(self._class_to_module[name])\n
2025-10-11  20:30:32.053 | info | qcxdz79geg559t |   File "/usr/local/lib/python3.10/dist-packages/diffusers/utils/import_utils.py", line 943, in __getattr__\n
2025-10-11  20:30:32.053 | info | qcxdz79geg559t |     value = getattr(module, name)\n
2025-10-11  20:30:32.053 | info | qcxdz79geg559t |   File "/usr/local/lib/python3.10/dist-packages/diffusers/utils/import_utils.py", line 944, in __getattr__\n
2025-10-11  20:30:32.053 | info | qcxdz79geg559t |     value = getattr(module, name)\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "/usr/local/lib/python3.10/dist-packages/diffusers/utils/import_utils.py", line 944, in __getattr__\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "<frozen importlib._bootstrap>", line 1075, in _handle_fromlist\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |     from diffusers import QwenImageEditPipeline\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "/app/rp_handler.py", line 4, in <module>\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t | Traceback (most recent call last):\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t | \n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t | The above exception was the direct cause of the following exception:\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t | \n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t | ModuleNotFoundError: Could not import module 'Qwen2_5_VLForConditionalGeneration'. Are this object's requirements defined correctly?\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |     raise ModuleNotFoundError(\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "/usr/local/lib/python3.10/dist-packages/transformers/utils/import_utils.py", line 2320, in __getattr__\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |     from transformers import Qwen2_5_VLForConditionalGeneration, Qwen2Tokenizer, Qwen2VLProcessor\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "/usr/local/lib/python3.10/dist-packages/diffusers/pipelines/qwenimage/pipeline_qwenimage_edit.py", line 21, in <module>\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "<frozen importlib._bootstrap_external>", line 883, in exec_module\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "<frozen importlib._bootstrap>", line 688, in _load_unlocked\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "<frozen importlib._bootstrap>", line 1006, in _find_and_load_unlocked\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "<frozen importlib._bootstrap>", line 1027, in _find_and_load\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "<frozen importlib._bootstrap>", line 1050, in _gcd_import\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |     return _bootstrap._gcd_import(name[level:], package, level)\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |   File "/usr/lib/python3.10/importlib/__init__.py", line 126, in import_module\n
2025-10-11  20:30:32.052 | info | qcxdz79geg559t |     return importlib.import_module("." + module_name, self.__name__)\n
